index,surface,lemma,enlemma,clar,pos,gender,number,notes,extra,sort
123779,hoywi,hoywi,brighten,,v,\N,\N,\N,\N,ckutd
123816,hualu,hualu,fetter,,v,\N,\N,\N,\N,cs1gs
123836,huawdl,huawdl,eloquent,,adj,,,\N,\N,cs1t5g
123837,hudol,hud,enchanting,\N,adj,\N,\N,\N,\N,cs5
123838,hud,hud,magic,,adj,,,\N,\N,cs5
123842,hudladrata,hudladrata,swindle,,v,\N,\N,\N,\N,cs5g15n1q1
123900,hudo,hudo,captivate,,v,\N,\N,\N,\N,cs5k
123962,huddo,huddo,cover,,v,\N,\N,\N,\N,cs6k
124001,hufen,hufen,cream,,n,m,sg,\N,\N,cs87j
124002,hufennau,hufennau,creams,,n,m,sg,\N,\N,cs87jj1s
124044,hufennu,hufennu,cream,,v,\N,\N,\N,\N,cs87jjs
124057,huh,huh,huh,\N,im,\N,\N,\N,\N,csc
124074,hulio,hulio,lay,(table),v,\N,\N,\N,\N,csgdk
124109,hunan,hun,self,,pron,,sg,\N,\N,csj
124111,hun,hun,self,\N,pron,\N,sg,\N,\N,csj
124112,hunangadw,hunangadw,autosave,,v,\N,\N,\N,\N,csj1b15t
124113,hunangofiant,hunangofiant,autobiography,\N,n,m,sg,\N,\N,csj1bk8d1jq
124114,hunangychwyn,hunangychwyn,autostart,,v,\N,\N,\N,\N,csj1bu4tuj
124135,hunangyfeirio,hunangyfeirio,self-regard,,v,\N,\N,\N,\N,csj1bu87dndk
124166,hunangyflogedig,hunangyflogedig,self-employed,,adj,,,\N,\N,csj1bu8gka75da
124167,hunangynhaliol,hunangynhaliol,self-sustaining,,adj,,,\N,\N,csj1bujc1gdkg
124168,hunanachosedig,hunanachosedig,self-inflicted,,adj,,,\N,\N,csj1j14kp75da
124184,hunanasesu,hunanasesu,self-assess,,v,\N,\N,\N,\N,csj1j1p7ps
124223,hunanbarch,hunanbarch,self-respect,,n,m,sg,\N,\N,csj1j21n4
124235,hunanddewis,hunanddewis,self-select,,v,\N,\N,\N,\N,csj1j67tdp
124279,hunanfoddhaus,hunanfoddhaus,self-satisfied,,adj,,,\N,\N,csj1j8k6c1sp
124289,hunanholi,hunanholi,self-examine,,v,\N,\N,\N,\N,csj1jckgd
124334,hunaniaeth,hunaniaeth,identity,\N,n,f,sg,\N,\N,csj1jd17r
124335,hunaniaeth genedlaethol,hunaniaeth genedlaethol,national identity,,n,f,sg,\N,\N,csj1jd17r0a7j75g17rkg
124336,hunanladdiad,hunanladdiad,suicide,,n,m,sg,\N,\N,csj1jg16d15
124337,hunanweithredu,hunanweithredu,self-activate,,v,\N,\N,\N,\N,csj1jt7drn75s
124362,hunanymwadu,hunanymwadu,deny_oneself,,v,\N,\N,\N,\N,csj1juit15s
124392,hunllef,hunllef,nightmare,,n,f,sg,\N,\N,csjh78
124422,huno,huno,sleep,,v,\N,\N,\N,\N,csjk
124449,hurbwrcas,hurbwrcas,hire-purchase,,n,m,sg,\N,\N,csn2tn31p
124454,hurio,hurio,hire,,v,\N,\N,\N,\N,csndk
124501,hurt,hurt,silly,\N,adj,\N,\N,\N,\N,csnq
124516,hurtio,hurtio,become_confused,,v,\N,\N,\N,\N,csnqdk
124544,hyn,hwn,this,,adj.dem,,sp,\N,\N,ctj
124545,hon,hwn,this,,adj.dem,f,sg,\N,\N,ctj
124546,hwn,hwn,this,,adj.dem,m,sg,\N,\N,ctj
124547,hwnnw,hwnnw,that,,adj.dem,m,sg,\N,\N,ctjjt
124548,hynny,hwnnw,that,,adj.dem,,sp,\N,\N,ctjjt
124549,hynna,hwnnw,that,\N,adj.dem,\N,sp,spoken,\N,ctjjt
124550,hwnna,hwnnw,that,,adj.dem,m,sg,spoken,\N,ctjjt
124551,honno,hwnnw,that,,adj.dem,f,sg,\N,\N,ctjjt
124552,honna,hwnnw,that,,adj.dem,f,sg,spoken,\N,ctjjt
124553,hwnt,hwnt,beyond,,adv,,,\N,\N,ctjq
124572,hwpio,hwpio,ram,,v,\N,\N,\N,\N,ctldk
124617,hwpo,hwpo,ram,,v,\N,\N,\N,\N,ctlk
124683,hwrio,hwrio,whore,,v,\N,\N,\N,\N,ctndk
124716,hwsmona,hwsmona,cultivate,,v,\N,\N,\N,\N,ctpikj1
124803,hwtian,hwtian,hoot,,v,\N,\N,\N,\N,ctqd1j
124845,hwtio,hwtio,hoot,,v,\N,\N,\N,\N,ctqdk
124866,hwy,hwy,they,,pron,,3p,\N,\N,ctu
124867,hwy,hwy,longer,,adj,,,\N,\N,ctu
124868,hwyaden,hwyaden,duck,\N,n,f,sg,\N,\N,ctu157j
124870,hwyaf,hwyaf,longest,,adj,,,\N,\N,ctu18
124906,hwyhau,hwyhau,lengthen,,v,\N,\N,\N,\N,ctuc1s
124921,hwyl,hwyl,fun,,n,f,sg,\N,\N,ctug
124942,hwylfyrddio,hwylfyrddio,sailboard,,v,\N,\N,\N,\N,ctug8un6dk
124974,hwylio,hwylio,sail,,v,\N,\N,\N,\N,ctugdk
125025,hwylus,hwylus,convenient,,adj,,,\N,\N,ctugsp
125049,hwyluso,hwyluso,ease,(a task),v,\N,\N,\N,\N,ctugspk
125065,hwyluso,hwyluso,facilitate,,v,\N,\N,\N,\N,ctugspk
125081,hwyr,hwyr,late,,adj,,,\N,\N,ctun
125082,hwyrach,hwyr,late,,adj.comp,,,\N,\N,ctun
125083,hwyra,hwyr,late,\N,adj.sup,\N,\N,\N,\N,ctun
125084,hwyrach,hwyrach,perhaps,,adv,,,\N,\N,ctun14
125085,hwyraf,hwyraf,latest,,adj,,,\N,\N,ctun18
125086,hwyred,hwyred,(as) late,,adj,,,\N,\N,ctun75
125102,hwyrhau,hwyrhau,get_late,,v,\N,\N,\N,\N,ctuo1s
125129,hy,hy,bold,,adj,,,\N,\N,cu
125130,hyblyg,hyblyg,flexible,,adj,,,\N,\N,cu2gua
125131,hyblygrwydd,hyblygrwydd,flexibility,,n,m,sg,\N,\N,cu2guantu6
125154,hybu,hybu,promote,,v,\N,\N,\N,\N,cu2s
125188,hyd,hyd,length,,n,m,sg,\N,\N,cu5
125189,hyd y bo modd,hyd y bo modd,as far as possible,,h,,,\N,\N,cu50u02k0ik6
125190,hyd yn hyn,hyd yn hyn,up until now,,adv,,,\N,\N,cu50uj0cuj
125191,hyd_yn_oed,hyd_yn_oed,even,\N,adv,\N,\N,\N,\N,cu50uj0k75
125193,hyder,hyder,confidence,,n,m,sg,\N,\N,cu57n
125216,hyderu,hyderu,be_confident,,v,\N,\N,\N,\N,cu57ns
125248,hyderus,hyderus,confident,,adj,,,\N,\N,cu57nsp
125249,hydref,hydref,autumn,,n,m,sg,\N,\N,cu5n78
125250,Hydref,Hydref,October,,n,m,sg,\N,\N,cu5n78
125252,hyfryd,hyfryd,delightful,,adj,,,\N,\N,cu8nu5
125263,hyfrydu,hyfrydu,delight,,v,\N,\N,\N,\N,cu8nu5s
125307,hyfrydwch,hyfrydwch,delight,,n,m,sg,\N,\N,cu8nu5t4
125308,hyfyw,hyfyw,viable,,adj,,,\N,\N,cu8ut
125309,hyfywedd,hyfywedd,viability,,n,m,sg,\N,\N,cu8ut76
125310,hyfforddai,hyfforddai,trainee,,n,m,sg,\N,\N,cu9kn61d
125312,hyfforddedig,hyfforddedig,trained,,adj,,,\N,\N,cu9kn675da
125328,hyfforddi,hyfforddi,train,,v,\N,\N,\N,\N,cu9kn6d
125368,hyfforddiad,hyfforddiad,tutorial,,n,m,sg,\N,\N,cu9kn6d15
125369,hyfforddiadol,hyfforddiadol,training,,adj,,,\N,\N,cu9kn6d15kg
125370,hyfforddiant,hyfforddiant,training,,n,m,sg,\N,\N,cu9kn6d1jq
125371,hyfforddwr,hyfforddwr,trainer,,n,m,sg,\N,\N,cu9kn6tn
125373,hygrededd,hygrededd,credibility,,n,m,sg,\N,\N,cuan7576
125374,hygyrch,hygyrch,accessible,,adj,,,\N,\N,cuaun4
125375,hygyrchedd,hygyrchedd,accessibility,,n,m,sg,\N,\N,cuaun476
125376,hylaw,hylaw,convenient,,adj,,,\N,\N,cug1t
125377,hylendid,hylendid,hygiene,,n,m,sg,\N,\N,cug7j5d5
125378,hylenydd,hylenydd,hygienist,,n,m,sg,\N,\N,cug7ju6
125380,hylif,hylif,liquid,,n,m,sg,\N,\N,cugd8
125411,hylifo,hylifo,liquidise,,v,\N,\N,\N,\N,cugd8k
125436,hylifol,hylifol,liquid,,adj,,,\N,\N,cugd8kg
125437,hyll,hyll,ugly,,adj,,,\N,\N,cuh
125438,hym,hym,hmm,\N,im,\N,\N,\N,\N,cui
125484,hymian,hymian,hum,,v,\N,\N,\N,\N,cuid1j
125540,hymynnu,hymynnu,rivet,,v,\N,\N,\N,\N,cuiujjs
125544,hŷn,hŷn,older,,adj,,,\N,\N,cuj
125545,hynaf,hynaf,older,,adj,,,\N,\N,cuj18
125546,hynafol,hynafol,ancient,,adj,,,\N,\N,cuj18kg
125547,hynny yw,hynny yw,that is to say,(i.e.),h,,,\N,\N,cujju0ut
125548,hynod,hynod,remarkable,,adj,,,\N,\N,cujk5
125580,hynodi,hynodi,distinguish,,v,\N,\N,\N,\N,cujk5d
125604,hynt,hynt,course,(path),n,f,sg,\N,\N,cujq
125605,hyperbolig,hyperbolig,hyperbolic,,adj,,,\N,\N,cul7n2kgda
125606,hypergeometrig,hypergeometrig,hypergeometric,,adj,,,\N,\N,cul7na7ki7qnda
125608,hypergyswllt,hypergyswllt,hyperlink,,n,m,sg,\N,\N,cul7naupthq
125639,hypnoteiddio,hypnoteiddio,hypnotise,,v,\N,\N,\N,\N,culjkq7d6dk
125660,hyrddio,hyrddio,ram,,v,\N,\N,\N,\N,cun6dk
125745,hyrddu,hyrddu,ram,,v,\N,\N,\N,\N,cun6s
125766,hyrwyddiad,hyrwyddiad,promotion,,n,m,sg,\N,\N,cuntu6d15
125816,hyrwyddo,hyrwyddo,facilitate,,v,\N,\N,\N,\N,cuntu6k
125821,hyrwyddwr,hyrwyddwr,promoter,,n,m,sg,\N,\N,cuntu6tn
125861,hysbyddu,hysbyddu,exhaust,,v,\N,\N,\N,\N,cup2u6s
125877,hysbys,hysbys,known,,adj,,,\N,\N,cup2up
125878,hysbyseb,hysbyseb,advertisement,,n,f,sg,\N,\N,cup2up72
125911,hysbysebu,hysbysebu,advertise,,v,\N,\N,\N,\N,cup2up72s
125934,hysbysebwr,hysbysebwr,advertiser,,n,m,sg,\N,\N,cup2up72tn
125936,hysbysedig,hysbysedig,notified,,adj,,,\N,\N,cup2up75da
125937,hysbysiad,hysbysiad,notification,,n,m,sg,\N,\N,cup2upd15
125939,hysbysiad,hysbysiad,announcement,,n,m,sg,\N,\N,cup2upd15
125941,hysbyslen,hysbyslen,prospectus,,n,f,sg,\N,\N,cup2upg7j
125943,hysbysrwydd,hysbysrwydd,publicity,(information),n,m,sg,\N,\N,cup2upntu6
125955,hysbysu,hysbysu,announce,,v,\N,\N,\N,\N,cup2ups
125975,hysbysu,hysbysu,notify,,v,\N,\N,\N,\N,cup2ups
126000,hysbysydd,hysbysydd,notifier,,n,m,sg,\N,\N,cup2upu6
126034,hysian,hysian,set_on,,v,\N,\N,\N,\N,cupd1j
126052,hytrach,hytrach,rather,,adv,,,\N,\N,cuqn14
126095,hyweddu,hyweddu,pacify,,v,\N,\N,\N,\N,cut76s
126107,iddynt,i,to_them,,prep+pron,,3p,\N,\N,d
126108,iddi,i,to_her,,prep+pron,f,3s,\N,\N,d
126109,iddych,i,to_you,,prep+pron,\N,2p,spoken,\N,d
126110,iddyn,i,to_them,,prep+pron,,3p,\N,\N,d
126111,iddo,i,to_him,,prep+pron,m,3s,\N,\N,d
126112,inni,i,to_us,,prep+pron,,1p,\N,\N,d
126113,iti,i,to_you,,prep+pron,,2s,\N,\N,d
126114,i'w,i,to_his/her/their,,prep+poss,,3sp,\N,\N,d
126115,i_w,i,to_his/her/their,\N,prep+poss,\N,3sp,\N,\N,d
126116,i,i,to,,prep,,,\N,\N,d
126117,i_fyny,i_fyny,up,,adv,,,\N,\N,d08uju
126118,i_ffwrdd,i_ffwrdd,out,\N,adv,\N,\N,\N,\N,d09tn6
126119,i_gyd,i_gyd,all,\N,adj,\N,\N,\N,\N,d0au5
126120,i mewn,i mewn,incoming,,adj,,,\N,\N,d0i7tj
126121,i_mewn,i_mewn,in,\N,adv,\N,\N,\N,\N,d0i7tj
126122,i'r chwith,i'r chwith,to the left,,adv,,,\N,\N,d0n04tdr
126123,i'r dde,i'r dde,to the right,,adv,,,\N,\N,d0n067
126124,i raddau helaeth,i raddau helaeth,in large measure,,adv,,,\N,\N,d0n161s0c7g17r
126126,iâ,iâ,ice,,n,m,sg,\N,\N,d1
126127,ia,ia,yes,\N,adv,\N,\N,\N,\N,d1
126128,iach,iach,healthy,,adj,,,\N,\N,d14
126129,iachach,iachach,healthy,,adj.comp,,,\N,\N,d1414
126130,iachaf,iachaf,healthiest,,adj,,,\N,\N,d1418
126136,iacháu,iacháu,heal,,v,\N,\N,\N,\N,d141s
126182,iachawdwriaeth,iachawdwriaeth,salvation,\N,n,f,sg,\N,\N,d141t5tnd17r
126183,iachus,iachus,wholesome,,adj,,,\N,\N,d14sp
126186,ieithmon,iaith,linguistician,\N,n,m,sg,\N,\N,d1dr
126187,iaith,iaith,language,,n,f,sg,\N,\N,d1dr
126188,iaith arwyddion,iaith arwyddion,sign language,,n,f,sg,\N,\N,d1dr01ntu6dkj
126190,iaith lafar,iaith lafar,colloquial speech,,n,f,sg,\N,\N,d1dr0g181n
126192,iâr,iâr,hen,,n,f,sg,\N,\N,d1n
126246,iasu,iasu,simmer,,v,\N,\N,\N,\N,d1ps
126247,iau,iau,liver,,n,m,sg,\N,\N,d1s
126248,Iau,Iau,Thursday,\N,n,m,sg,\N,\N,d1s
126250,iau,iau,yoke,,n,f,sg,\N,\N,d1s
126251,Iau,Iau,Jupiter,,n,m,sg,\N,\N,d1s
126252,iawn,iawn,OK,,adv,,,\N,\N,d1tj
126253,iawn,iawn,very,,adv,,,\N,\N,d1tj
126254,iawndal,iawndal,compensation,(payment),n,m,sg,\N,\N,d1tj51g
126256,iawndaliad,iawndaliad,compensation payment,,n,m,sg,\N,\N,d1tj51gd15
126259,icosahedron,icosahedron,icosahedron,,n,m,sg,\N,\N,d3kp1c75nkj
126260,ideolegol,ideolegol,ideological,,adj,,,\N,\N,d57kg7akg
126262,Iddew,Iddew,Jew,,n,m,sg,\N,\N,d67t
126264,Iddewes,Iddewes,Jewess,,n,f,sg,\N,\N,d67t7p
126265,Iddewiaeth,Iddewiaeth,Judaism,,n,f,sg,\N,\N,d67td17r
126266,Iddewig,Iddewig,Jewish,,adj,,,\N,\N,d67tda
126267,ie,ie,yes,,adv,,,\N,\N,d7
126268,iechyd,iechyd,health,,n,m,sg,\N,\N,d74u5
126273,iengeiddio,iengeiddio,rejuvenate,,v,\N,\N,\N,\N,d7b7d6dk
126321,ieithyddol,ieithyddol,linguistic,,adj,,,\N,\N,d7dru6kg
126322,ieuainc,ieuainc,young,(pl),adj,,,\N,\N,d7s1dj3
126323,ieuanc,ieuanc,young,,adj,,,\N,\N,d7s1j3
126324,ieuengaf,ieuengaf,youngest,,adj,,,\N,\N,d7s7b18
126325,ieuenctid,ieuenctid,youth,,n,m,sg,\N,\N,d7s7j3qd5
126360,ieuo,ieuo,yoke,,v,\N,\N,\N,\N,d7sk
126380,ifainc,ifainc,young,(pl),adj,,,\N,\N,d81dj3
126381,ifanc,ifanc,young,,adj,,,\N,\N,d81j3
126382,iau,ifanc,younger,,adj.comp,,,\N,\N,d81j3
126383,ifancach,ifanc,young,\N,adj.comp,\N,\N,\N,\N,d81j3
126384,ienga,ifanc,young,\N,adj.sup,\N,\N,\N,\N,d81j3
126385,iengach,ifanc,young,\N,adj.comp,\N,\N,\N,\N,d81j3
126393,igamogamu,igamogamu,zigzag,,v,\N,\N,\N,\N,da1ika1is
126441,igian,igian,hiccup,,v,\N,\N,\N,\N,dad1j
126503,ildio,ildio,yield,,v,\N,\N,\N,\N,dg5dk
126542,ill,ill,all,(with following num),adv,\N,\N,\N,\N,dh
126543,imperial,imperial,imperial,(measure),adj,,,\N,\N,dil7nd1g
126544,impetws,impetws,impetus,,n,m,sg,\N,\N,dil7qtp
126578,impio,impio,graft,,v,\N,\N,\N,\N,dildk
126619,imwneiddio,imwneiddio,immunise,,v,\N,\N,\N,\N,ditj7d6dk
126647,incwm,incwm,income,,n,m,sg,\N,\N,dj3ti
126648,incwm,incwm,income,,n,m,sg,\N,\N,dj3ti
126652,indemniad,indemniad,indemnity,,n,m,sg,\N,\N,dj57ijd15
126653,indemniad,indemniad,indemnification,,n,m,sg,\N,\N,dj57ijd15
126654,indemnio,indemnio,indemnify,,v,\N,\N,\N,\N,dj57ijdk
126655,India,India,India,\N,n,f,sg,place,\N,dj5d1
126656,india_corn,india_corn,maize,\N,n,m,sg,\N,\N,dj5d103knj
126657,Indo-Ewropeg,Indo-Ewropeg,Indo-European,(language),n,f,sg,\N,\N,dj5k07tnkl7a
126658,injan,injan,engine,(of train),n,f,sg,\N,\N,dje1j
126660,insbecto,insbecto,inspect,\N,v,\N,\N,\N,\N,djp273qk
126661,insiwrans,insiwrans,insurance,\N,n,m,sg,\N,\N,djpdtn1jp
126711,inswleiddio,inswleiddio,insulate,,v,\N,\N,\N,\N,djptg7d6dk
126713,integredig,integredig,integrated,,adj,,,\N,\N,djq7an75da
126714,integreiddio,integreiddio,integrate,,v,\N,\N,\N,\N,djq7an7d6dk
126715,integrol,integrol,integral,,adj,,,\N,\N,djq7ankg
126716,intrest,intrest,interest,\N,n,m,sg,\N,\N,djqn7pq
126717,iogwrt,iogwrt,yoghurt,\N,n,m,sg,\N,\N,dkatnq
126718,Ionawr,Ionawr,January,,n,m,sg,\N,\N,dkj1tn
126719,ir,ir,fresh,,adj,,,\N,\N,dn
126747,ireiddio,ireiddio,refresh,,v,\N,\N,\N,\N,dn7d6dk
126805,iro,iro,anoint,,v,\N,\N,\N,\N,dnk
126825,is,is,lower,,adj,,,\N,\N,dp
126827,is-adran,is-adran,sub-division,(sub-department),n,f,sg,\N,\N,dp015n1j
126828,is-banel,is-banel,sub-panel,,n,m,sg,\N,\N,dp021j7g
126831,is-baragraff,is-baragraff,sub-paragraph,,n,m,sg,\N,\N,dp021n1an19
126833,is-bwyllgor,is-bwyllgor,sub-committee,,n,m,sg,\N,\N,dp02tuhakn
126835,is-raddedig,is-raddedig,undergraduate,,n,m,sg,\N,\N,dp0n1675da
126836,is-raddedig,is-raddedig,undergraduate,,adj,,,\N,\N,dp0n1675da
126837,is-set,is-set,subset,,n,f,sg,\N,\N,dp0p7q
126839,isadeiledd,isadeiledd,infrastructure,,n,m,sg,\N,\N,dp157dg76
126840,isaf,isaf,lowest,,adj,,,\N,\N,dp18
126842,isafbwynt,isafbwynt,minimum,,n,m,sg,\N,\N,dp182tujq
126844,isafrif,isafrif,minimum,(number),n,m,sg,\N,\N,dp18nd8
126845,isafswm,isafswm,minimum,,n,m,sg,\N,\N,dp18pti
126847,isa,isel,lowest,\N,adj,\N,\N,spoken,\N,dp7g
126848,isel,isel,low,,adj,,,\N,\N,dp7g
126850,iselder,iselder,depression,(of mind),n,m,sg,\N,\N,dp7g57n
126869,iselhau,iselhau,lower,,v,\N,\N,\N,\N,dp7gc1s
126923,iselu,iselu,lower,,v,\N,\N,\N,\N,dp7gs
126963,isgilio,isgilio,ride_as passenger,,v,\N,\N,\N,\N,dpadgdk
127006,isgoch,isgoch,infrared,,adj,,,\N,\N,dpak4
127008,isgyfeiriadur,isgyfeiriadur,subdirectory,,n,f,sg,\N,\N,dpau87dnd15sn
127009,isie,isie,want,\N,n,m,sg,\N,\N,dpd7
127010,islaw,islaw,below,,adv,,,\N,\N,dpg1t
127011,islythrennol,islythrennol,lower-case,(text),adj,,,\N,\N,dpgurn7jjkg
127012,islythrennu,islythrennu,make lower-case,,v,\N,\N,\N,\N,dpgurn7jjs
127013,islythyren,islythyren,lower-case letter,,n,f,sg,\N,\N,dpgurun7j
127015,isod,isod,below,,adv,,,\N,\N,dpk5
127016,isomedrig,isomedrig,isometric,,adj,,,\N,\N,dpki75nda
127017,isosgeles,isosgeles,isosceles,,adj,,,\N,\N,dpkpa7g7p
127053,isosod,isosod,sublet,,v,\N,\N,\N,\N,dpkpk5
127072,isradd,isradd,root,(maths),n,m,sg,\N,\N,dpn16
127074,israddio,israddio,downgrade,,v,\N,\N,\N,\N,dpn16dk
127097,isrannu,isrannu,subdivide,,v,\N,\N,\N,\N,dpn1jjs
127133,isymwybodol,isymwybodol,subconscious,,adj,,,\N,\N,dpuitu2k5kg
127134,italig,italig,italig,(letters),adj,,,\N,\N,dq1gda
127135,iteriad,iteriad,iteration,,n,m,sg,\N,\N,dq7nd15
127137,iteru,iteru,iterate,(computing),v,\N,\N,\N,\N,dq7ns
127138,iterus,iterus,iterative,,adj,,,\N,\N,dq7nsp
127139,Iwerddon,Iwerddon,Ireland,,n,f,sg,place,\N,dt7n6kj
127140,iws,iws,use,\N,n,m,sg,\N,\N,dtp
127141,iwsio,iwsio,use,\N,v,\N,\N,\N,\N,dtpdk
127154,jacio,jacio,jack,,v,\N,\N,\N,\N,e13dk
127193,jam,jam,jam,\N,n,m,sg,\N,\N,e1i
127243,jamio,jamio,jam,,v,\N,\N,\N,\N,e1idk
127245,jar,jar,jar,,n,f,sg,\N,\N,e1n
127247,jargon,jargon,jargon,,n,m,sg,\N,\N,e1nakj
127248,jeli,jeli,jelly,\N,n,m,sg,\N,\N,e7gd
127249,jelysrwydd,jelws,jealousy,\N,n,m,sg,\N,\N,e7gtp
127250,jelws,jelws,jealous,\N,adj,\N,\N,\N,\N,e7gtp
127251,jelys,jelys,jealous,\N,adj,\N,\N,\N,\N,e7gup
127252,jest,jest,just,\N,adv,\N,\N,\N,\N,e7pq
127253,jibio,jibio,jib,\N,v,\N,\N,\N,\N,ed2dk
127254,jig_so,jig_so,jigsaw,\N,n,m,sg,\N,\N,eda0pk
127256,jigso,jigso,jigsaw,,n,m,sg,\N,\N,edapk
127257,jiw,jiw,heavens,\N,e,\N,\N,\N,\N,edt
127258,job,job,job,\N,n,f,sg,\N,\N,ek2
127260,jôc,jôc,joke,\N,n,f,sg,\N,\N,ek3
127262,jocan,jocan,joke,,v,\N,\N,\N,\N,ek31j
127361,jocian,jocian,joke,,v,\N,\N,\N,\N,ek3d1j
127389,jochio,jochio,squirt,,v,\N,\N,\N,\N,ek4dk
127414,joinio,joinio,join,\N,v,\N,\N,\N,\N,ekdjdk
127415,jwg,jwg,jug,,n,m,sg,\N,\N,eta
127417,jyrsi,jyrsi,sweater,\N,n,m,sg,\N,\N,eunpd
127418,jyst,jyst,just,\N,adv,\N,\N,\N,\N,eupq
127419,kilo,kilo,kilo,\N,n,m,sg,\N,\N,fdgk
127420,knock_io,knock_io,knock,\N,v,\N,\N,\N,\N,fjk3f0dk
127422,label,label,label,,n,f,sg,\N,\N,g127g
127448,labelu,labelu,label,,v,\N,\N,\N,\N,g127gs
127477,labordy,labordy,laboratory,,n,m,sg,\N,\N,g12kn5u
127513,labro,labro,labour,,v,\N,\N,\N,\N,g12nk
127533,lafant,lafant,lavender,,n,m,sg,\N,\N,g181jq
127549,lambastio,lambastio,lambast,,v,\N,\N,\N,\N,g1i21pqdk
127599,lamineiddio,lamineiddio,laminate,,v,\N,\N,\N,\N,g1idj7d6dk
127636,lamp,lamp,lamp,,n,f,sg,\N,\N,g1il
127638,lanlwythiad,lanlwythiad,upload,,n,m,sg,\N,\N,g1jgturd15
127640,lanlwytho,lanlwytho,upload,,v,\N,\N,\N,\N,g1jgturk
127641,lansiad,lansiad,launch,,n,m,sg,\N,\N,g1jpd15
127678,lansio,lansio,launch,,v,\N,\N,\N,\N,g1jpdk
127700,lapio,lapio,wrap,,v,\N,\N,\N,\N,g1ldk
127745,laru,laru,get_fed_up,\N,v,\N,\N,\N,of = ar,g1ns
127746,larwm,larwm,alarm,,n,m,sg,\N,\N,g1nti
127759,lasio,lasio,lash,,v,\N,\N,\N,\N,g1pdk
127799,lawnsio,lawnsio,launch,,v,\N,\N,\N,\N,g1tjpdk
127800,lawrlwythiad,lawrlwythiad,download,,n,m,sg,\N,\N,g1tngturd15
127802,lawrlwytho,lawrlwytho,download,,v,\N,\N,\N,\N,g1tngturk
127828,ledio,ledio,lead,,v,\N,\N,\N,\N,g75dk
127854,ledled,ledled,far and wide,,adv,,,\N,\N,g75g75
127886,lefeinio,lefeinio,leaven,,v,\N,\N,\N,\N,g787djdk
127906,lefel,lefel,level,,n,f,sg,\N,\N,g787g
127937,lefelu,lefelu,level,,v,\N,\N,\N,\N,g787gs
127993,leicio,leicio,like,,v,\N,\N,\N,\N,g7d3dk
128015,lein,lein,line,,n,f,sg,\N,\N,g7dj
128016,leinin,leinin,lining,\N,n,m,sg,\N,\N,g7djdj
128044,leinio,leinio,lash,,v,\N,\N,\N,\N,g7djdk
128068,lembyd,lembyd,nowhere,,adv,,,\N,\N,g7i2u5
128069,lemon,lemon,lemon,\N,n,m,sg,\N,\N,g7ikj
128070,lemwn,lemwn,lemon,\N,n,m,sg,\N,\N,g7itj
128096,lercio,lercio,lurk,,v,\N,\N,\N,\N,g7n3dk
128126,lesio,lesio,lease,,v,\N,\N,\N,\N,g7pdk
128173,letys,letys,lettuce,\N,n,f,sg,\N,\N,g7qup
128199,licio,licio,like,,v,\N,\N,\N,\N,gd3dk
128225,lifft,lifft,lift,\N,n,m,sg,\N,\N,gd9q
128226,lîgs,lîgs,league,\N,n,m,sg,\N,\N,gdap
128228,litr,litr,litre,,n,m,sg,\N,\N,gdqn
128229,lobïo,lobïo,lobby,,v,\N,\N,\N,\N,gk2dk
128230,locws,locws,locus,,n,m,sg,\N,\N,gk3tp
128256,loetran,loetran,loiter,,v,\N,\N,\N,\N,gk7qn1j
128275,logarithm,logarithm,logarithm,,n,m,sg,\N,\N,gka1ndri
128276,logarithmig,logarithmig,logarithmic,,adj,,,\N,\N,gka1ndrida
128277,logistaidd,logistaidd,logistic,,adj,,,\N,\N,gkadpq1d6
128278,logo,logo,logo,,n,m,sg,\N,\N,gkak
128280,lol,lol,nonsense,\N,n,f,sg,\N,\N,gkg
128288,lolian,lolian,lounge,,v,\N,\N,\N,\N,gkgd1j
128323,lolipop,lolipop,lollipop,,n,m,sg,\N,\N,gkgdlkl
128374,loncian,loncian,jog,,v,\N,\N,\N,\N,gkj3d1j
128393,lordio,lordio,lord_it,,v,\N,\N,\N,\N,gkn5dk
128426,losen,losen,sweet,(confectionery),n,f,sg,\N,\N,gkp7j
128428,lot,lot,lot,\N,quan,\N,\N,\N,\N,gkq
128430,loteri,loteri,lottery,,n,m,sg,\N,\N,gkq7nd
128431,lotri,lotri,lottery,,n,f,sg,\N,\N,gkqnd
128433,lwc,lwc,luck,,n,f,sg,\N,\N,gt3
128434,lwcus,lwcus,lucky,,adj,,,\N,\N,gt3sp
128436,lwfans,lwfans,allowance,,n,m,sg,\N,\N,gt81jp
128437,lwmp,lwmp,lump,\N,n,m,sg,\N,\N,gtil
128438,lyfli,lyfli,lovely,\N,adj,\N,\N,\N,\N,gu8gd
128484,llabyddio,llabyddio,stone,,v,\N,\N,\N,\N,h12u6dk
128527,llacáu,llacáu,slacken,,v,\N,\N,\N,\N,h131s
128576,llacio,llacio,slacken,,v,\N,\N,\N,\N,h13dk
128593,llachar,llachar,bright,,adj,,,\N,\N,h141n
128626,llachio,llachio,lash,,v,\N,\N,\N,\N,h14dk
128645,Lladin,Lladin,Latin,(language),n,f,sg,\N,\N,h15dj
128646,lladin,lladin,Latin,,adj,,,\N,\N,h15dj
128648,lladmerydd,lladmerydd,exponent,,n,m,sg,\N,\N,h15i7nu6
